user_id,city,rating,date,comment
天是红河岸,上海,力荐,2019-06-27,打光摄影服化道都用心，曹盾的画面一如既往靠谱，质感太棒了！应该是本年度最佳古装了。
回南雀,湖北武汉,力荐,2019-06-27,电影质感，镜头转换非常流畅。服化道非常精致。全员原音，感觉很棒！雷佳音扮演的死囚张小敬很不羁，易烊千玺扮演的靖安司丞李泌一脸正气。
西年,河北邯郸,推荐,2019-06-27,唐朝只有道士的簪子是竖着插，很少有剧组会注意到这点，所以这部剧的道具是真的用心，下了功夫研究的。服装化妆也都精致。一个最多时有上百个群演的组，每天出妆7小时。
宇宙飛行士.,北京,力荐,2019-06-27,服化道、配乐、摄影、打光、整片电影质感都绝了，开头的一镜到底真是盛世长安啊！剧组在细节上的处理非常用心，李必头上道家芙蓉冠子午簪的特色插法，棺材铺里摆放唐三彩等。主演方面彼时17岁还未系统学习表演的易烊千玺演技竟也不输，李必仙风道骨运筹帷幄心怀苍生，雷佳音不羁野性十分带劲，此剧着实良心
吹哥,湖北仙桃,推荐,2019-06-27,"期待这部剧很久了，感觉唐朝的还原度非常高，装饰的道具都很真实。剧中人物的服装非常精致，就是漂亮。每一帧画面都很有质感，看得出来是大制作，画面的色调也非常好，看得很舒服，拍摄时镜头也不晃，都是大场面的感觉，随便截图一张都可以保存的那种。制作组的布景不错,没有发现bug。"
噗呲噗呲好多鱼,上海,推荐,2019-06-27,《妖猫传》之后在电视剧里面看到这么精致的盛唐太震撼了，能播出真是2019古装剧的华采。以雷佳音的张小敬和李必为中心的群像剧，有悬疑色彩，但更多的是不灭的赤子之心。很有诚意的国产精品作。
使君子,浙江杭州,推荐,2019-06-27,能在2019看到这部戏简直是人生之幸，雷佳音的张小敬是少见的不想笑的角色，看着一身杀伐气就知道他拼的有多值。拿到好剧本的曹盾宛如开了挂一样，实力派×潜力股，这个配置，绝了。
幻期颐,北京,力荐,2019-06-27,"摄影 选角 服化道，我都非常可可可可！
这个电影质感我可太爱了，雷老师的张小敬好带感，四字弟弟的表演也接住了，台词眼神都很不错，期待后续。"
佛魔皆由我,上海,推荐,2019-06-27,草灰蛇线的几集，节奏稳的一批，很少见这么大部头扎扎实实的古装剧了。雷佳音演的很拼，易烊千玺难得的hold住了，作为四字弟弟第一部影视作品，这个成绩单交的相当漂亮。
要开心呀！,湖北武汉,力荐,2019-06-27,终于播了，从2017年官宣开始，我就在期待了！没想到雷佳音古装也这么合适，易烊千玺的气质也非常适合李泌。
